segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes,direction
direction,long,653,0.2986217457886677,2.9364471669218988,0.11775063632059908,1.1697992074561112,1917.5,0.47473200612557426,0.34150076569678406,0.22358346094946402,0.13782542113323124,0.6830015313935681,39.81431852986218,23.75,27.302067381317,27.25,76.11327474621102,74.42254928327877,20.245022970903523,
direction,short,565,0.25309734513274335,0.45132743362831856,0.017495079763069885,1.02442996742671,255.0,0.4672566371681416,0.31150442477876106,0.21238938053097345,0.15575221238938053,0.7309734513274336,39.07035398230089,21.25,26.797345132743363,27.5,75.3633387171006,73.59471224679797,16.345132743362832,
year,2023,181,0.32044198895027626,2.3314917127071824,0.09308516761005256,1.1391705829004863,422.0,0.5082872928176796,0.3425414364640884,0.2154696132596685,0.10497237569060773,0.6629834254143646,38.91160220994475,26.0,24.689226519337016,26.5,75.83231843342313,74.0,23.56353591160221,long
year,2023,163,0.32515337423312884,3.5644171779141103,0.14405794494931048,1.2149662380908335,581.0,0.5214723926380368,0.3496932515337423,0.2085889570552147,0.13496932515337423,0.656441717791411,40.63496932515337,29.0,24.216257668711656,26.75,75.55213280860954,73.94562482491013,23.87730061349693,short
year,2024,221,0.2986425339366516,1.504524886877828,0.06076716122628852,1.08675233187659,332.5,0.47058823529411764,0.3393665158371041,0.21266968325791855,0.11312217194570136,0.6832579185520362,37.581447963800905,22.75,25.892533936651585,27.0,76.15338229861904,74.42254928327877,22.592760180995477,long
year,2024,167,0.23952095808383234,-1.594311377245509,-0.06314655694788733,0.9147112997517418,-266.25,0.40718562874251496,0.2694610778443114,0.20359281437125748,0.1437125748502994,0.7365269461077845,36.104790419161674,17.75,25.562874251497007,27.0,75.38073797684717,73.796992481203,17.311377245508982,short
year,2025,251,0.28286852589641437,4.633466135458168,0.18570999023474874,1.2626616227203433,1163.0,0.4541832669322709,0.3426294820717131,0.23904382470119523,0.18326693227091634,0.6972111553784861,42.43127490039841,23.75,30.427290836653388,28.75,76.28056288777452,74.62784529603786,15.784860557768924,long
year,2025,235,0.2127659574468085,-0.2542553191489362,-0.012984042341727375,0.9870488782919692,-59.75,0.4723404255319149,0.3148936170212766,0.22127659574468084,0.17872340425531916,0.7787234042553192,40.09255319148936,22.0,29.464893617021275,29.0,75.22002334138301,73.37932057059031,10.434042553191489,short
score_band,70-79,509,0.2966601178781925,1.6723968565815324,0.06810027543196105,1.0967192160204517,851.25,0.4715127701375246,0.33398821218074654,0.21414538310412573,0.11984282907662082,0.6817288801571709,39.30255402750491,23.75,27.00392927308448,27.5,73.70036249743904,73.23259154626726,21.110019646365423,long
score_band,70-79,449,0.25389755011135856,-0.1408685968819599,-0.006543554616981261,0.9923490988266602,-63.25,0.47438752783964366,0.30957683741648107,0.20935412026726058,0.1447661469933185,0.7282850779510023,39.145879732739424,22.0,26.782293986636972,27.5,73.1688911723843,72.51911528189017,16.70824053452116,short
score_band,80-89,131,0.3053435114503817,7.517175572519084,0.29746660551513765,1.4349122225902617,984.75,0.48854961832061067,0.366412213740458,0.2595419847328244,0.1984732824427481,0.6870229007633588,41.29961832061068,22.75,27.849236641221374,26.5,83.67084126091903,83.46428599214222,17.519083969465647,long
score_band,80-89,108,0.23148148148148148,1.037037037037037,0.04234051934406554,1.0541062801932368,112.0,0.4166666666666667,0.28703703703703703,0.21296296296296297,0.19444444444444445,0.7592592592592593,36.798611111111114,17.5,27.087962962962962,27.25,83.20203709771616,83.10888201541411,14.38888888888889,short
score_band,90-100,13,0.3076923076923077,6.269230769230769,0.2507692307692308,1.3586358635863587,81.5,0.46153846153846156,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.6923076923076923,44.88461538461539,41.5,33.46153846153846,26.75,94.43105329991711,95.32470327377072,13.846153846153847,long
score_band,90-100,8,0.5,25.78125,1.0312500000000002,3.042079207920792,206.25,0.75,0.75,0.375,0.25,0.5,65.5,72.5,23.71875,21.25,92.70427902599192,92.88997429305913,22.375,short
htf_bias,bearish,0,,,,,,,,,,,,,,,,,,long
htf_bias,bearish,511,0.2583170254403131,0.7338551859099804,0.029767181193628197,1.0398290008231328,375.0,0.47162426614481406,0.31702544031311153,0.21526418786692758,0.15655577299412915,0.7279843444227005,39.01712328767123,21.5,26.627690802348337,27.5,75.5245855790083,73.6,16.532289628180038,short
htf_bias,bullish,608,0.3026315789473684,3.3560855263157894,0.1345578380219592,1.1953613059192418,2040.5,0.47039473684210525,0.34375,0.22203947368421054,0.13980263157894737,0.6792763157894737,39.71998355263158,23.5,27.297286184210527,27.125,76.15906668198095,74.25872263158246,20.129934210526315,long
htf_bias,bullish,0,,,,,,,,,,,,,,,,,,short
htf_bias,neutral,45,0.24444444444444444,-2.7333333333333334,-0.10933333333333325,0.8549528301886793,-123.0,0.5333333333333333,0.3111111111111111,0.24444444444444444,0.1111111111111111,0.7333333333333333,41.08888888888889,31.75,27.366666666666667,27.75,75.49457481403071,74.86936114732725,21.8,long
htf_bias,neutral,54,0.2037037037037037,-2.2222222222222223,-0.09863536155202815,0.8826692740161329,-120.0,0.42592592592592593,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.7592592592592593,39.574074074074076,19.5,28.40277777777778,26.75,73.8374656349739,73.58044502904747,14.574074074074074,short
dol_direction,bearish,1,0.0,-25.25,-1.01,0.0,-25.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.75,26.75,70.0,70.0,1.0,long
dol_direction,bearish,558,0.25268817204301075,0.32437275985663083,0.012464210294775985,1.017551515151515,181.0,0.46774193548387094,0.3118279569892473,0.2114695340501792,0.15412186379928317,0.7311827956989247,39.02195340501792,21.375,26.851254480286737,27.5,75.39386627811076,73.59735612339898,16.35663082437276,short
dol_direction,bullish,631,0.30269413629160064,3.158082408874802,0.12592366431698557,1.1838627084630822,1992.75,0.4786053882725832,0.34231378763866877,0.22345483359746435,0.13787638668779714,0.6782884310618067,39.91006339144216,24.0,27.332805071315374,27.5,76.22472217003101,74.58977888669018,20.564183835182252,long
dol_direction,bullish,0,,,,,,,,,,,,,,,,,,short
dol_direction,neutral,21,0.19047619047619047,-2.380952380952381,-0.07412698412698406,0.88351776354106,-50.0,0.38095238095238093,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.8095238095238095,38.785714285714285,14.75,26.404761904761905,26.25,73.05565333267741,72.64749596122779,11.571428571428571,long
dol_direction,neutral,7,0.2857142857142857,10.571428571428571,0.4185272459499264,1.5896414342629481,74.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,42.92857142857143,16.5,22.5,26.0,72.92985599657587,72.21911627286076,15.428571428571429,short
liquidity_sweep,False,75,0.29333333333333333,1.5066666666666666,0.056223560838197954,1.08558985040712,113.0,0.5066666666666667,0.29333333333333333,0.21333333333333335,0.16,0.6933333333333334,39.52333333333333,25.25,28.41,27.75,73.53901794823017,72.06492515678167,18.76,long
liquidity_sweep,False,110,0.3181818181818182,8.938636363636364,0.35572314049586795,1.523005319148936,983.25,0.5454545454545454,0.38181818181818183,0.2818181818181818,0.23636363636363636,0.6727272727272727,46.54090909090909,35.5,24.64090909090909,26.5,73.03531490431602,71.69589033409471,15.518181818181818,short
liquidity_sweep,True,578,0.29930795847750863,3.1219723183391004,0.1257342533814643,1.1809476059162698,1804.5,0.47058823529411764,0.3477508650519031,0.22491349480968859,0.13494809688581316,0.6816608996539792,39.852076124567475,23.5,27.158304498269896,27.0,76.4473046075407,75.00653040986903,20.43771626297578,long
liquidity_sweep,True,455,0.23736263736263735,-1.6005494505494506,-0.06427434151299116,0.9149041832203786,-728.25,0.44835164835164837,0.2945054945054945,0.1956043956043956,0.13626373626373625,0.7450549450549451,37.26428571428571,20.25,27.318681318681318,27.5,75.9261576608507,74.0,16.545054945054947,short
displacement,False,187,0.24064171122994651,-3.4906417112299466,-0.14068610879312468,0.8127644316959484,-652.75,0.42245989304812837,0.3048128342245989,0.21390374331550802,0.09090909090909091,0.7379679144385026,35.17914438502674,20.5,26.621657754010695,27.5,74.55055377403494,73.08470258308297,19.647058823529413,long
displacement,False,141,0.2624113475177305,-1.0443262411347518,-0.03810152381709627,0.9427599611273081,-147.25,0.41134751773049644,0.2907801418439716,0.19148936170212766,0.1276595744680851,0.723404255319149,35.47872340425532,16.5,27.150709219858157,27.75,74.5460781807961,73.0,16.9645390070922,short
displacement,True,466,0.3218884120171674,5.515557939914163,0.22145808554005475,1.3292448600525204,2570.25,0.4957081545064378,0.3562231759656652,0.22746781115879827,0.15665236051502146,0.6609442060085837,41.67435622317596,26.375,27.57510729613734,27.125,76.74037522217009,75.15450060407655,20.48497854077253,long
displacement,True,424,0.25,0.9487028301886793,0.03598357293477611,1.0511410590553685,402.25,0.4858490566037736,0.31839622641509435,0.21933962264150944,0.1650943396226415,0.7334905660377359,40.26474056603774,22.625,26.67983490566038,27.25,75.63511639544714,73.82660405135769,16.139150943396228,short
structure_shift,False,216,0.2777777777777778,-0.5474537037037037,-0.02309601231127886,0.9684477353078513,-118.25,0.48148148148148145,0.3287037037037037,0.18518518518518517,0.09722222222222222,0.6805555555555556,39.526620370370374,24.625,28.57060185185185,27.0,73.33881722629498,72.5462204670074,21.77777777777778,long
structure_shift,False,164,0.23780487804878048,-2.3597560975609757,-0.09418705880392242,0.8751210067763795,-387.0,0.4573170731707317,0.2682926829268293,0.1951219512195122,0.13414634146341464,0.75,36.105182926829265,19.375,27.772865853658537,28.25,73.09405789695718,72.32957671026911,17.426829268292682,short
structure_shift,True,437,0.30892448512585813,4.658466819221968,0.18736820177708793,1.269814446653413,2035.75,0.47139588100686497,0.34782608695652173,0.2425629290617849,0.15789473684210525,0.6842105263157895,39.95652173913044,22.25,26.675057208237988,27.5,77.48463132356082,76.75191676350798,19.487414187643022,long
structure_shift,True,401,0.2593516209476309,1.600997506234414,0.06317056785530614,1.0874778580188036,642.0,0.4713216957605985,0.32917705735660846,0.2194513715710723,0.16458852867830423,0.7231920199501247,40.28304239401496,22.25,26.398379052369076,27.25,76.29142364104952,74.206336834289,15.902743142144638,short
fvg_context,False,560,0.2910714285714286,2.194642857142857,0.0884880737758083,1.1259543940558545,1229.0,0.4714285714285714,0.3357142857142857,0.21964285714285714,0.13392857142857142,0.6875,39.46741071428571,23.5,27.36026785714286,27.125,75.90897600383735,74.0,20.225,long
fvg_context,False,483,0.2401656314699793,-0.9109730848861284,-0.03658905212068817,0.9514094033847768,-440.0,0.4658385093167702,0.2981366459627329,0.2028985507246377,0.14906832298136646,0.7412008281573499,38.434265010351965,21.5,27.058488612836438,27.5,74.9468952598325,73.28423879446424,16.089026915113873,short
fvg_context,True,93,0.34408602150537637,7.403225806451613,0.2939553140096619,1.4484611626770885,688.5,0.4946236559139785,0.3763440860215054,0.24731182795698925,0.16129032258064516,0.6559139784946236,41.903225806451616,30.0,26.951612903225808,27.75,77.34346072179439,76.0,20.365591397849464,long
fvg_context,True,82,0.32926829268292684,8.475609756097562,0.3360638078100839,1.5026215874163804,695.0,0.47560975609756095,0.3902439024390244,0.2682926829268293,0.1951219512195122,0.6707317073170732,42.81707317073171,20.25,25.259146341463413,26.625,77.81629225198456,76.0,17.853658536585368,short
htf_alignment,aligned,608,0.3026315789473684,3.3560855263157894,0.1345578380219592,1.1953613059192418,2040.5,0.47039473684210525,0.34375,0.22203947368421054,0.13980263157894737,0.6792763157894737,39.71998355263158,23.5,27.297286184210527,27.125,76.15906668198095,74.25872263158246,20.129934210526315,long
htf_alignment,aligned,511,0.2583170254403131,0.7338551859099804,0.029767181193628197,1.0398290008231328,375.0,0.47162426614481406,0.31702544031311153,0.21526418786692758,0.15655577299412915,0.7279843444227005,39.01712328767123,21.5,26.627690802348337,27.5,75.5245855790083,73.6,16.532289628180038,short
htf_alignment,neutral/unknown,45,0.24444444444444444,-2.7333333333333334,-0.10933333333333325,0.8549528301886793,-123.0,0.5333333333333333,0.3111111111111111,0.24444444444444444,0.1111111111111111,0.7333333333333333,41.08888888888889,31.75,27.366666666666667,27.75,75.49457481403071,74.86936114732725,21.8,long
htf_alignment,neutral/unknown,54,0.2037037037037037,-2.2222222222222223,-0.09863536155202815,0.8826692740161329,-120.0,0.42592592592592593,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.7592592592592593,39.574074074074076,19.5,28.40277777777778,26.75,73.8374656349739,73.58044502904747,14.574074074074074,short
time_bucket,10:30+,653,0.2986217457886677,2.9364471669218988,0.11775063632059908,1.1697992074561112,1917.5,0.47473200612557426,0.34150076569678406,0.22358346094946402,0.13782542113323124,0.6830015313935681,39.81431852986218,23.75,27.302067381317,27.25,76.11327474621102,74.42254928327877,20.245022970903523,long
time_bucket,10:30+,565,0.25309734513274335,0.45132743362831856,0.017495079763069885,1.02442996742671,255.0,0.4672566371681416,0.31150442477876106,0.21238938053097345,0.15575221238938053,0.7309734513274336,39.07035398230089,21.25,26.797345132743363,27.5,75.3633387171006,73.59471224679797,16.345132743362832,short
