segment,value,setup_family,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
overall,reversal,reversal,1033,0.27202323330106487,1.0418683446272992,0.04204218109010203,1.0580799222902781,1076.25,0.46079380445304935,0.324298160696999,0.21200387221684414,0.1355275895450145,0.7095837366892546,38.712245885769605,22.0,27.22894482090997,27.5,76.21775779171888,74.58351682193376,18.723136495643757
overall,continuation,continuation,185,0.3081081081081081,5.925675675675675,0.23430439198600175,1.3425513631747519,1096.25,0.5297297297297298,0.34594594594594597,0.25405405405405407,0.20540540540540542,0.6810810810810811,43.695945945945944,28.75,26.16891891891892,27.0,73.23951884103798,71.81949173451764,16.832432432432434
year,2023,reversal,298,0.3221476510067114,2.785234899328859,0.11282600778132931,1.167423096318709,830.0,0.5201342281879194,0.3523489932885906,0.21476510067114093,0.11409395973154363,0.6577181208053692,39.81375838926174,28.25,24.482382550335572,26.5,76.13166289562929,74.57530971506215,23.553691275167786
year,2023,continuation,46,0.32608695652173914,3.760869565217391,0.14581978359393447,1.222508038585209,173.0,0.4782608695652174,0.30434782608695654,0.1956521739130435,0.15217391304347827,0.6739130434782609,39.17391304347826,23.0,24.35326086956522,26.75,72.90025524685676,71.73182261669449,24.73913043478261
year,2024,reversal,328,0.25609756097560976,-1.6051829268292683,-0.0627285107257421,0.9123960066555741,-526.5,0.4329268292682927,0.3018292682926829,0.19207317073170732,0.10670731707317073,0.7225609756097561,35.80487804878049,20.5,25.960365853658537,27.125,76.22860475088137,74.54179357279497,20.713414634146343
year,2024,continuation,60,0.36666666666666664,9.879166666666666,0.3909836523125998,1.627580730545262,592.75,0.5,0.35,0.3,0.23333333333333334,0.6166666666666667,43.18333333333333,22.375,24.604166666666668,25.625,73.59163953065321,71.85233676782215,18.166666666666668
year,2025,reversal,407,0.24815724815724816,1.8986486486486487,0.07464956821936768,1.102175062805765,772.75,0.4398034398034398,0.32186732186732187,0.22604422604422605,0.17444717444717445,0.7371007371007371,40.2487714987715,21.25,30.262285012285012,28.75,76.27205380260195,74.60436599443038,13.582309582309582
year,2025,continuation,79,0.25316455696202533,4.1835443037974684,0.1668301687763714,1.223575173346863,330.5,0.5822784810126582,0.3670886075949367,0.25316455696202533,0.21518987341772153,0.7341772151898734,46.71835443037975,35.75,28.414556962025316,30.25,73.16963129616988,71.75193253480862,11.215189873417721
direction,long,reversal,578,0.29930795847750863,3.1219723183391004,0.1257342533814643,1.1809476059162698,1804.5,0.47058823529411764,0.3477508650519031,0.22491349480968859,0.13494809688581316,0.6816608996539792,39.852076124567475,23.5,27.158304498269896,27.0,76.4473046075407,75.00653040986903,20.43771626297578
direction,long,continuation,75,0.29333333333333333,1.5066666666666666,0.056223560838197954,1.08558985040712,113.0,0.5066666666666667,0.29333333333333333,0.21333333333333335,0.16,0.6933333333333334,39.52333333333333,25.25,28.41,27.75,73.53901794823017,72.06492515678167,18.76
