section,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
close_break,False,47,0.2978723404255319,4.601063829787234,0.18103132387706866,1.2606206688761674,216.25,0.5106382978723404,0.3404255319148936,0.2765957446808511,0.2127659574468085,0.7021276595744681,43.75,34.0,26.617021276595743,27.5,72.56545601864929,73.51505347917943,15.787234042553191
close_break,True,138,0.3115942028985507,6.3768115942028984,0.2524481180810731,1.37122969837587,880.0,0.5362318840579711,0.34782608695652173,0.2463768115942029,0.2028985507246377,0.6739130434782609,43.677536231884055,28.625,26.016304347826086,26.75,73.46909096170658,71.67819559607761,17.18840579710145
wick_break,False,47,0.2978723404255319,4.601063829787234,0.18103132387706866,1.2606206688761674,216.25,0.5106382978723404,0.3404255319148936,0.2765957446808511,0.2127659574468085,0.7021276595744681,43.75,34.0,26.617021276595743,27.5,72.56545601864929,73.51505347917943,15.787234042553191
wick_break,True,138,0.3115942028985507,6.3768115942028984,0.2524481180810731,1.37122969837587,880.0,0.5362318840579711,0.34782608695652173,0.2463768115942029,0.2028985507246377,0.6739130434782609,43.677536231884055,28.625,26.016304347826086,26.75,73.46909096170658,71.67819559607761,17.18840579710145
break_confirmation,<missing>,117,0.28205128205128205,2.8311965811965814,0.11074187442314601,1.1567120047309285,331.25,0.48717948717948717,0.3504273504273504,0.23931623931623933,0.18803418803418803,0.717948717948718,41.96367521367522,23.5,27.91025641025641,28.25,73.03566952044625,71.75193253480862,15.991452991452991
break_confirmation,body_close,17,0.47058823529411764,29.13235294117647,1.1606417112299467,3.287528868360277,495.25,0.7647058823529411,0.5294117647058824,0.4117647058823529,0.35294117647058826,0.47058823529411764,63.338235294117645,51.75,20.75,18.0,73.21341581344193,71.96283292810818,20.0
break_confirmation,displacement,51,0.3137254901960784,5.28921568627451,0.2089922376273165,1.3100574712643678,269.75,0.5490196078431373,0.27450980392156865,0.23529411764705882,0.19607843137254902,0.6666666666666666,41.122549019607845,27.0,23.980392156862745,26.0,73.71587417394707,71.83420074349442,17.705882352941178
five_minute_close,False,163,0.3006134969325153,4.677914110429448,0.18402645716202645,1.2678493018354264,762.5,0.5214723926380368,0.3374233128834356,0.2392638036809816,0.19631901840490798,0.6871165644171779,42.42484662576687,28.25,26.579754601226995,27.5,73.0296841320193,71.72248462694844,16.85276073619632
five_minute_close,True,22,0.36363636363636365,15.170454545454545,0.606818181818182,1.9441301272984441,333.75,0.5909090909090909,0.4090909090909091,0.36363636363636365,0.2727272727272727,0.6363636363636364,53.11363636363637,41.75,23.125,26.0,74.79420327604,71.97297656635588,16.681818181818183
retest_present,False,185,0.3081081081081081,5.925675675675675,0.23430439198600175,1.3425513631747519,1096.25,0.5297297297297298,0.34594594594594597,0.25405405405405407,0.20540540540540542,0.6810810810810811,43.695945945945944,28.75,26.16891891891892,27.0,73.23951884103798,71.81949173451764,16.832432432432434
retest_hold,False,185,0.3081081081081081,5.925675675675675,0.23430439198600175,1.3425513631747519,1096.25,0.5297297297297298,0.34594594594594597,0.25405405405405407,0.20540540540540542,0.6810810810810811,43.695945945945944,28.75,26.16891891891892,27.0,73.23951884103798,71.81949173451764,16.832432432432434
displacement_category,<missing>,117,0.28205128205128205,2.8311965811965814,0.11074187442314601,1.1567120047309285,331.25,0.48717948717948717,0.3504273504273504,0.23931623931623933,0.18803418803418803,0.717948717948718,41.96367521367522,23.5,27.91025641025641,28.25,73.03566952044625,71.75193253480862,15.991452991452991
displacement_category,moderate,11,0.6363636363636364,46.45454545454545,1.8581818181818186,6.0594059405940595,511.0,0.8181818181818182,0.7272727272727273,0.5454545454545454,0.45454545454545453,0.36363636363636365,75.5909090909091,84.25,19.0,16.25,72.97051614292769,71.96283292810818,22.363636363636363
displacement_category,strong,51,0.3137254901960784,5.28921568627451,0.2089922376273165,1.3100574712643678,269.75,0.5490196078431373,0.27450980392156865,0.23529411764705882,0.19607843137254902,0.6666666666666666,41.122549019607845,27.0,23.980392156862745,26.0,73.71587417394707,71.83420074349442,17.705882352941178
displacement_category,weak,6,0.16666666666666666,-2.625,-0.11818181818181805,0.8636363636363636,-15.75,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,40.875,35.25,23.958333333333332,26.375,73.65873187605133,73.69047121354845,15.666666666666666
