trade_id,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,direction,signal_close,entry_price_raw,entry_price,stop_price,tp1,tp2,tp3,tp4,raw_score,score_band,score_edge,stop_distance_points,tp1_hit,tp2_hit,tp3_hit,tp4_hit,stop_hit,exit_reason,exit_price_raw,exit_price,gross_result_points,commission_cost,net_result_points,net_result_r,mfe_points,mae_points,mfe_r,mae_r,bars_held,minutes_held,maximum_target_reached,session_date,snr_1m,snr_5m,snr_15m,snr_alignment,rvol_rolling,rvol_time_of_day,htf_bias,dol_direction,liquidity_sweep,displacement,structure_shift,fvg_context,setup_family,feature_matched,directional_close_break,directional_wick_break,break_confirmation,broken_timeframe,break_displacement_category,break_displacement_score,break_rvol,broken_level,break_timestamp,minutes_since_break,retest_present,retest_hold,pre_entry_follow_through_points,completed_5m_close_beyond,year
3,3694,3695,3725,2022-10-05 13:34:00+00:00,2022-10-05 13:35:00+00:00,2022-10-05 14:05:00+00:00,short,11528.25,11527.75,11527.5,11552.5,11502.5,11477.5,11452.5,11427.5,76.14916286149163,70-79,-32.14916286149163,25.0,True,True,True,True,False,tp4,11427.5,11427.75,99.75,0.0,99.75,3.99,102.5,3.75,4.1,0.15,31,30.0,4,2022-10-05,4.027397260273973,2.15625,2.32468495181616,partial_bearish,1.8684258251722887,,bearish,bearish,False,False,True,False,continuation,True,False,False,,,,,,,,,False,False,,False,2023
16,13408,13409,13410,2022-10-14 14:28:00+00:00,2022-10-14 14:29:00+00:00,2022-10-14 14:30:00+00:00,long,10936.75,10936.75,10937.0,10912.0,10962.0,10987.0,11012.0,11037.0,70.0,70-79,12.0,25.0,False,False,False,False,True,stop,10912.0,10911.75,-25.25,0.0,-25.25,-1.01,1.0,26.75,0.04,1.07,2,1.0,0,2022-10-14,1.862255232950709,2.6517231717567946,4.720262510254306,partial_bearish,1.566646880690564,2.2544155969501016,bullish,bearish,False,True,True,False,continuation,True,True,True,displacement,1m,strong,83.33333333333334,2.2544155969501016,10898.25,2022-10-14 14:28:00+00:00,0.0,False,False,40.75,False,2023
22,20280,20281,20304,2022-10-21 14:00:00+00:00,2022-10-21 14:01:00+00:00,2022-10-21 14:24:00+00:00,long,11161.25,11160.75,11161.0,11136.0,11186.0,11211.0,11236.0,11261.0,70.17974329331722,70-79,48.179743293317216,25.0,True,True,False,False,True,stop,11136.0,11135.75,-25.25,0.0,-25.25,-1.01,63.0,30.5,2.52,1.22,24,23.0,2,2022-10-21,1.6915604128718884,1.9649122807017545,4.056171470805618,strong_bullish,1.2746103281906986,1.0321168822810067,bullish,bullish,False,False,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2023
26,25771,25772,25772,2022-10-27 13:31:00+00:00,2022-10-27 13:32:00+00:00,2022-10-27 13:32:00+00:00,short,11437.0,11438.0,11437.75,11462.75,11412.75,11387.75,11362.75,11337.75,70.28433178781798,70-79,-36.284331787817976,25.0,False,False,False,False,True,stop,11462.75,11463.0,-25.25,0.0,-25.25,-1.01,11.0,26.75,0.44,1.07,1,0.0,0,2022-10-27,1.096774193548387,0.9910195456946644,0.7044967880085654,partial_bullish,3.209090909090909,0.9521889283208568,bearish,bearish,False,False,True,False,continuation,True,False,False,,,,,,,,,False,False,,False,2023
27,25789,25790,25805,2022-10-27 13:49:00+00:00,2022-10-27 13:50:00+00:00,2022-10-27 14:05:00+00:00,short,11324.5,11324.75,11324.5,11349.5,11299.5,11274.5,11249.5,11224.5,72.0,70-79,-60.0,25.0,True,True,False,False,True,stop,11349.5,11349.75,-25.25,0.0,-25.25,-1.01,61.0,26.5,2.44,1.06,16,15.0,2,2022-10-27,3.277456647398844,0.4056974459724951,0.4453665283540802,partial_bearish,1.469038208168643,1.8891856593206175,bearish,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2023
37,34052,34053,34055,2022-11-04 13:32:00+00:00,2022-11-04 13:33:00+00:00,2022-11-04 13:35:00+00:00,long,10879.5,10879.75,10880.0,10855.0,10905.0,10930.0,10955.0,10980.0,74.0,70-79,18.783561471411943,25.0,False,False,False,False,True,stop,10855.0,10854.75,-25.25,0.0,-25.25,-1.01,19.25,27.5,0.77,1.1,3,2.0,0,2022-11-04,2.7751479289940826,0.822972972972973,3.2585249801744647,partial_bullish,3.218673706357555,1.0205481607350766,bullish,bullish,False,True,True,False,continuation,True,False,False,displacement,1m,strong,93.47032107156717,1.0205481607350766,10892.5,2022-11-04 13:32:00+00:00,0.0,False,False,31.75,False,2023
57,57046,57047,57049,2022-11-29 14:31:00+00:00,2022-11-29 14:32:00+00:00,2022-11-29 14:34:00+00:00,short,11601.25,11601.5,11601.25,11626.25,11576.25,11551.25,11526.25,11501.25,70.20985452972175,70-79,-44.20985452972175,25.0,False,False,False,False,True,stop,11626.25,11626.5,-25.25,0.0,-25.25,-1.01,3.25,26.75,0.13,1.07,3,2.0,0,2022-11-29,4.107438016528926,1.3618677042801557,0.6176470588235294,strong_bearish,5.62251517053777,0.7623181621521941,bearish,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2023
62,63964,63965,63982,2022-12-06 14:49:00+00:00,2022-12-06 14:50:00+00:00,2022-12-06 15:07:00+00:00,short,11730.0,11730.0,11729.75,11754.75,11704.75,11679.75,11654.75,11629.75,70.0,70-79,-28.20410783055199,25.0,True,True,True,True,False,tp4,11629.75,11630.0,99.75,0.0,99.75,3.99,118.0,1.25,4.72,0.05,18,17.0,4,2022-12-06,0.503209242618742,4.9284332688588,4.0355871886121,partial_bearish,1.0843305380194102,1.520050721191948,bearish,bearish,False,True,True,False,continuation,True,False,False,,,,,,,,,False,False,,False,2023
67,66726,66727,66731,2022-12-08 14:51:00+00:00,2022-12-08 14:52:00+00:00,2022-12-08 14:56:00+00:00,short,11540.75,11540.75,11540.5,11565.5,11515.5,11490.5,11465.5,11440.5,74.0,70-79,-20.409768093172573,25.0,False,False,False,False,True,stop,11565.5,11565.75,-25.25,0.0,-25.25,-1.01,3.0,35.75,0.12,1.43,5,4.0,0,2022-12-08,1.7299771167048057,2.076788830715532,3.094736842105263,partial_bearish,1.17836912846173,1.530023906623541,bearish,bearish,False,True,True,False,continuation,True,False,False,,,,,,,,,False,False,,False,2023
68,66740,66741,66800,2022-12-08 15:05:00+00:00,2022-12-08 15:06:00+00:00,2022-12-08 16:05:00+00:00,long,11628.25,11628.25,11628.5,11603.5,11653.5,11678.5,11703.5,11728.5,71.98312020460358,70-79,59.98312020460358,25.0,True,False,False,False,False,max_holding_time,11637.0,11636.75,8.25,0.0,8.25,0.33,42.75,21.0,1.71,0.84,60,59.0,1,2022-12-08,1.3248081841432229,3.710280373831776,0.7488738738738738,strong_bullish,1.5720080015030449,2.0339758622662014,bullish,bullish,False,True,True,False,continuation,True,True,True,displacement,1m,strong,99.85933503836317,2.0339758622662014,11620.0,2022-12-08 15:05:00+00:00,0.0,False,False,11.5,True,2023
79,80538,80539,80598,2022-12-22 15:04:00+00:00,2022-12-22 15:05:00+00:00,2022-12-22 16:04:00+00:00,short,11068.75,11068.5,11068.25,11093.25,11043.25,11018.25,10993.25,10968.25,72.216701388986,70-79,-64.216701388986,25.0,True,True,False,False,False,max_holding_time,11018.5,11018.75,49.5,0.0,49.5,1.98,69.75,5.75,2.79,0.23,60,59.0,2,2022-12-22,4.080213903743315,0.8968386023294509,3.421641791044776,strong_bearish,1.0844918688760068,0.9754221907779383,bearish,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2023
93,92945,92946,92966,2023-01-06 14:51:00+00:00,2023-01-06 14:52:00+00:00,2023-01-06 15:12:00+00:00,long,10812.5,10812.25,10812.5,10787.5,10837.5,10862.5,10887.5,10912.5,71.43686157454293,70-79,47.43686157454293,25.0,True,True,True,True,False,tp4,10912.5,10912.25,99.75,0.0,99.75,3.99,105.0,11.25,4.2,0.45,21,20.0,4,2023-01-06,0.6863813229571984,1.8269947800149144,0.4768392370572207,partial_bullish,0.8420661091996366,1.525700510640504,bullish,bullish,False,False,True,False,continuation,True,True,True,body_close,1m,moderate,61.97384645452446,1.525700510640504,10806.5,2023-01-06 14:51:00+00:00,0.0,False,False,19.0,False,2023
