section,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
directional_displacement,False,859,0.2770663562281723,1.3239231664726425,0.052755041327390104,1.0746190312156554,1137.25,0.4586728754365541,0.3213038416763679,0.21769499417927823,0.13387660069848661,0.69965075669383,38.44499417927823,21.5,26.839930151338766,27.25,75.2945505506523,73.94210264374377,18.871944121071014
directional_displacement,True,359,0.2785515320334262,2.8837047353760448,0.11548552947982624,1.1595146379044685,1035.25,0.5013927576601671,0.3426183844011142,0.2200557103064067,0.17548746518105848,0.7186629526462396,41.91991643454039,27.25,27.61350974930362,27.75,76.89202189812622,74.4,17.39275766016713
opposite_displacement,False,1104,0.27898550724637683,1.8580163043478262,0.07408509498354729,1.104316318098023,2051.25,0.47192028985507245,0.32971014492753625,0.2210144927536232,0.14764492753623187,0.7056159420289855,39.63790760869565,22.625,27.185914855072465,27.375,75.75023078300511,73.91896991902507,18.46105072463768
opposite_displacement,True,114,0.2631578947368421,1.0635964912280702,0.043736322119732426,1.058659893565554,121.25,0.4649122807017544,0.30701754385964913,0.19298245614035087,0.13157894736842105,0.7017543859649122,37.83552631578947,22.125,25.92543859649123,27.125,75.91228070175438,76.0,18.19298245614035
category,moderate,273,0.25274725274725274,-1.4386446886446886,-0.058393523782728655,0.921688849010518,-392.75,0.45787545787545786,0.2893772893772894,0.19047619047619047,0.1282051282051282,0.7252747252747253,37.6474358974359,20.5,28.456959706959708,28.25,75.71273999168766,74.08419211279605,17.84981684981685
category,none,157,0.2929936305732484,6.388535031847134,0.25860348708192504,1.3596593455849395,1003.0,0.4840764331210191,0.35668789808917195,0.28662420382165604,0.18471337579617833,0.7070063694267515,42.32165605095541,24.75,26.278662420382165,27.75,74.00035984454638,72.0,18.019108280254777
category,strong,450,0.29777777777777775,3.908333333333333,0.1549501438359563,1.2228169638615272,1758.75,0.4777777777777778,0.34,0.22666666666666666,0.16666666666666666,0.6933333333333334,40.52611111111111,22.25,26.558333333333334,27.125,77.26647036385496,76.0,18.224444444444444
category,weak,338,0.26331360946745563,-0.5813609467455622,-0.022517735567668513,0.9674318388994779,-196.5,0.46745562130177515,0.32840236686390534,0.19822485207100593,0.11538461538461539,0.7041420118343196,38.2085798816568,22.375,26.99112426035503,27.0,74.62931540644493,73.0,19.384615384615383
direction,bearish,525,0.26476190476190475,1.3861904761904762,0.05518611843729875,1.0765106315872472,727.75,0.4666666666666667,0.3142857142857143,0.2057142857142857,0.15428571428571428,0.7161904761904762,39.07142857142857,21.25,26.677619047619046,27.25,76.10416739220364,74.17290825680178,16.735238095238095
direction,bullish,536,0.28544776119402987,0.824160447761194,0.03209407823142092,1.04684393308767,441.75,0.47201492537313433,0.332089552238806,0.21082089552238806,0.12686567164179105,0.6940298507462687,39.02332089552239,22.75,27.68143656716418,27.25,75.95057911928535,74.0,20.223880597014926
direction,neutral,157,0.2929936305732484,6.388535031847134,0.25860348708192504,1.3596593455849395,1003.0,0.4840764331210191,0.35668789808917195,0.28662420382165604,0.18471337579617833,0.7070063694267515,42.32165605095541,24.75,26.278662420382165,27.75,74.00035984454638,72.0,18.019108280254777
structure_break,False,700,0.26142857142857145,0.15285714285714286,0.006410636343011232,1.0083878806882767,107.0,0.4585714285714286,0.31857142857142856,0.21285714285714286,0.13142857142857142,0.72,38.2425,21.75,27.088571428571427,27.75,74.88714454707547,73.53912650385789,18.33142857142857
structure_break,True,518,0.29922779922779924,3.9874517374517375,0.15885799255478347,1.2301585090676102,2065.5,0.48841698841698844,0.33976833976833976,0.22586872586872586,0.16602316602316602,0.6853281853281853,41.1269305019305,24.75,27.040057915057915,27.0,76.95222702989346,75.0923158464008,18.577220077220076
mss,False,1043,0.27612655800575264,1.7003835091083412,0.06788306630452651,1.0953238376780436,1773.5,0.47651006711409394,0.32790028763183127,0.21860019175455417,0.14285714285714285,0.7046979865771812,39.61457334611697,23.25,27.164908916586768,27.5,75.11631677337787,73.59130434782608,18.618408437200383
mss,True,175,0.2857142857142857,2.28,0.091279128159226,1.1276493641526033,399.0,0.44,0.32571428571428573,0.21714285714285714,0.1657142857142857,0.7085714285714285,38.60285714285714,18.5,26.49,27.25,79.63392222745433,78.75772687593656,17.34857142857143
choch,False,1043,0.27612655800575264,1.7003835091083412,0.06788306630452651,1.0953238376780436,1773.5,0.47651006711409394,0.32790028763183127,0.21860019175455417,0.14285714285714285,0.7046979865771812,39.61457334611697,23.25,27.164908916586768,27.5,75.11631677337787,73.59130434782608,18.618408437200383
choch,True,175,0.2857142857142857,2.28,0.091279128159226,1.1276493641526033,399.0,0.44,0.32571428571428573,0.21714285714285714,0.1657142857142857,0.7085714285714285,38.60285714285714,18.5,26.49,27.25,79.63392222745433,78.75772687593656,17.34857142857143
bos,False,1135,0.2713656387665198,1.0680616740088105,0.042928274339422215,1.059339664202849,1212.25,0.46519823788546255,0.32863436123348017,0.21409691629955946,0.14008810572687225,0.7118942731277533,39.07533039647577,22.25,27.344933920704847,27.5,75.77288844384067,74.0,18.41762114537445
bos,True,83,0.3614457831325301,11.569277108433734,0.45846137600290926,1.737660841175341,960.25,0.5542168674698795,0.3132530120481928,0.27710843373493976,0.2289156626506024,0.6144578313253012,44.855421686746986,30.0,23.28012048192771,26.0,75.66296868287318,73.58044502904747,18.686746987951807
fvg,False,955,0.2680628272251309,0.9486910994764398,0.03778697901919112,1.0526369300933929,906.0,0.4743455497382199,0.32146596858638743,0.21047120418848167,0.1382198952879581,0.7120418848167539,38.93219895287958,22.75,26.830104712041884,27.5,75.39479875865484,73.91341153616337,18.169633507853405
fvg,True,263,0.311787072243346,4.815589353612167,0.19273505939223645,1.2802921323448047,1266.5,0.4600760456273764,0.34980988593155893,0.24714828897338403,0.17490494296577946,0.6806083650190115,41.419201520912544,21.0,27.931558935361217,26.75,77.11111015179561,75.16056938221885,19.403041825095055
year_2023_directional_displacement,False,243,0.3374485596707819,4.127572016460905,0.16783977682705148,1.2553299815439445,1003.0,0.5020576131687243,0.3662551440329218,0.23045267489711935,0.1111111111111111,0.6378600823045267,40.074074074074076,25.0,23.541152263374485,26.0,75.04341295959901,73.51505347917943,24.14814814814815
year_2023_directional_displacement,True,101,0.2871287128712871,0.0,-0.0045069842061027906,1.0,0.0,0.5445544554455446,0.297029702970297,0.16831683168316833,0.13861386138613863,0.7128712871287128,38.896039603960396,29.75,26.68811881188119,27.25,77.27819737693449,74.41566826289487,22.663366336633665
year_2023_category,moderate,74,0.2972972972972973,-1.0810810810810811,-0.04359521800070574,0.9370202716000787,-80.0,0.5,0.3108108108108108,0.1891891891891892,0.10810810810810811,0.6756756756756757,36.726351351351354,24.5,25.18918918918919,26.75,75.0772073714062,73.613359014449,21.486486486486488
