section,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
alignment,aligned,1189,0.27922624053826745,1.8282169890664424,0.07267692306854741,1.1027741333049657,2173.75,0.4735071488645921,0.3280067283431455,0.21783010933557612,0.1455004205214466,0.703111858704794,39.493271656854496,22.75,27.10681244743482,27.5,75.83479989274632,74.0,18.589571068124474
alignment,neutral/unknown,28,0.21428571428571427,0.8571428571428571,0.049036573392243564,1.0432627309598919,24.0,0.39285714285714285,0.32142857142857145,0.25,0.17857142857142858,0.7857142857142857,39.82142857142857,15.625,25.428571428571427,26.0,73.02420399865203,72.64749596122779,12.535714285714286
alignment,opposed,1,0.0,-25.25,-1.01,0.0,-25.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.75,26.75,70.0,70.0,1.0
target_type,<missing>,28,0.21428571428571427,0.8571428571428571,0.049036573392243564,1.0432627309598919,24.0,0.39285714285714285,0.32142857142857145,0.25,0.17857142857142858,0.7857142857142857,39.82142857142857,15.625,25.428571428571427,26.0,73.02420399865203,72.64749596122779,12.535714285714286
target_type,ash,2,0.0,-25.25,-1.01,0.0,-50.5,0.5,0.5,0.0,0.0,1.0,42.25,42.25,41.875,41.875,70.97046097986652,70.97046097986652,19.5
target_type,asl,1,0.0,-25.25,-1.01,0.0,-25.25,0.0,0.0,0.0,0.0,1.0,18.75,18.75,28.25,28.25,77.81445927106154,77.81445927106154,6.0
target_type,external_equal_high,17,0.4117647058823529,12.367647058823529,0.49470588235294116,1.8326732673267327,210.25,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.17647058823529413,0.5882352941176471,45.3235294117647,37.75,26.36764705882353,28.0,75.39306488113145,73.61373369374833,25.11764705882353
target_type,external_equal_low,19,0.2631578947368421,-4.973684210526316,-0.1989473684210526,0.7326732673267327,-94.5,0.42105263157894735,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.7368421052631579,34.4078947368421,14.0,24.236842105263158,25.25,75.71069050595236,74.0,22.263157894736842
target_type,external_swing_high,308,0.2662337662337662,1.2435064935064934,0.05066750923318418,1.0683531878820327,383.0,0.4577922077922078,0.33116883116883117,0.22727272727272727,0.14285714285714285,0.7175324675324676,38.714285714285715,22.5,26.87012987012987,27.625,76.16117056075122,74.1,18.636363636363637
target_type,external_swing_low,244,0.2336065573770492,-1.2172131147540983,-0.0468060789041418,0.9355118879600478,-297.0,0.4713114754098361,0.3237704918032787,0.20081967213114754,0.14344262295081966,0.75,39.471311475409834,22.125,27.362704918032787,28.25,74.94126735261942,73.38045257651572,16.65573770491803
target_type,internal_equal_high,47,0.2765957446808511,-1.4202127659574468,-0.060591080482019596,0.9178966789667896,-66.75,0.5319148936170213,0.3404255319148936,0.1276595744680851,0.10638297872340426,0.6808510638297872,37.851063829787236,34.0,30.75,29.0,76.39804441480896,74.31744526316491,25.19148936170213
target_type,internal_equal_low,54,0.37037037037037035,14.217592592592593,0.5672390572390573,1.905632556767915,767.75,0.5,0.3333333333333333,0.3148148148148148,0.25925925925925924,0.6111111111111112,43.78703703703704,26.375,23.51388888888889,26.125,76.12713803546865,74.0,17.555555555555557
target_type,loh,2,1.0,67.0,2.7628865979381443,inf,134.0,1.0,1.0,1.0,0.0,0.0,80.5,80.5,3.0,3.0,78.69933422450963,78.69933422450963,59.0
target_type,lol,2,0.5,37.25,1.4900000000000002,3.9504950495049505,74.5,1.0,0.5,0.5,0.5,0.5,74.125,74.125,26.125,26.125,74.12280539786386,74.12280539786386,8.0
target_type,onh,32,0.3125,5.0546875,0.20137355837336782,1.2936904221516115,161.75,0.40625,0.34375,0.25,0.15625,0.6875,38.828125,20.375,29.4453125,28.125,76.24781468663168,76.0169410079303,15.84375
target_type,onl,47,0.3191489361702128,5.914893617021277,0.23168013968828824,1.3605706874189365,278.0,0.5319148936170213,0.3191489361702128,0.2765957446808511,0.19148936170212766,0.6382978723404256,42.409574468085104,27.5,25.1968085106383,26.5,76.84726625458403,74.493487139417,16.76595744680851
target_type,pdh,59,0.423728813559322,7.453389830508475,0.2950982806775223,1.5225787284610814,439.75,0.576271186440678,0.4067796610169492,0.2033898305084746,0.11864406779661017,0.559322033898305,42.13559322033898,31.75,22.940677966101696,26.0,76.94309922533994,76.15835569091043,26.93220338983051
target_type,pdl,67,0.208955223880597,-6.115671641791045,-0.25095614998600063,0.6867354740061162,-409.75,0.34328358208955223,0.19402985074626866,0.14925373134328357,0.11940298507462686,0.7761194029850746,30.62313432835821,13.5,27.145522388059703,27.25,75.58005363977827,72.41854353759955,15.238805970149254
target_type,pmh,18,0.4444444444444444,24.09722222222222,0.9543306559571619,2.945067264573991,433.75,0.6111111111111112,0.5,0.3888888888888889,0.2777777777777778,0.5,56.875,66.5,22.34722222222222,24.625,75.91987792614432,75.02667601317457,21.444444444444443
target_type,pml,22,0.09090909090909091,-16.761363636363637,-0.6704545454545455,0.2698019801980198,-368.75,0.36363636363636365,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.9090909090909091,28.045454545454547,17.5,31.21590909090909,29.75,72.76495149781134,72.31438558118813,10.090909090909092
target_type,week_high,146,0.3013698630136986,2.3801369863013697,0.09418864857414566,1.1387918122815777,347.5,0.4452054794520548,0.3013698630136986,0.2054794520547945,0.1232876712328767,0.678082191780822,39.12328767123287,23.0,29.381849315068493,27.0,76.18012773120765,74.71215257127368,20.45205479452055
target_type,week_low,103,0.2621359223300971,2.2402912621359223,0.08951358242620391,1.1216715001318218,230.75,0.5145631067961165,0.3786407766990291,0.24271844660194175,0.1553398058252427,0.7281553398058253,41.71844660194175,26.0,27.50242718446602,27.25,75.74917926960228,74.0,15.922330097087379
target_category,<missing>,28,0.21428571428571427,0.8571428571428571,0.049036573392243564,1.0432627309598919,24.0,0.39285714285714285,0.32142857142857145,0.25,0.17857142857142858,0.7857142857142857,39.82142857142857,15.625,25.428571428571427,26.0,73.02420399865203,72.64749596122779,12.535714285714286
target_category,asia_high_low,3,0.0,-25.25,-1.01,0.0,-75.75,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,34.416666666666664,18.75,37.333333333333336,33.25,73.25179374359818,71.16295336787564,15.0
target_category,equal_highs_lows,137,0.3284671532846715,5.961678832116788,0.23659217743251226,1.3603176353810522,816.75,0.5109489051094891,0.3357664233576642,0.22627737226277372,0.17518248175182483,0.6496350364963503,40.64051094890511,28.25,26.4507299270073,27.25,76.0712318540413,74.0,21.766423357664234
target_category,external_swings,552,0.25181159420289856,0.15579710144927536,0.007581357955090811,1.0084241459532264,86.0,0.463768115942029,0.3278985507246377,0.21557971014492755,0.1431159420289855,0.7318840579710145,39.04891304347826,22.25,27.08786231884058,27.75,75.6219379832437,73.81556442621307,17.76086956521739
target_category,loh_lol,4,0.75,52.125,2.1264432989690722,9.257425742574258,208.5,1.0,0.75,0.75,0.25,0.25,77.3125,80.5,14.5625,3.0,76.41106981118674,76.71158737262911,33.5
target_category,onh_onl,79,0.31645569620253167,5.5664556962025316,0.2194040561176875,1.3327028560620389,439.75,0.4810126582278481,0.3291139240506329,0.26582278481012656,0.17721518987341772,0.6582278481012658,40.95886075949367,22.5,26.917721518987342,26.75,76.60445042959066,75.87038842394318,16.39240506329114
target_category,pdh_pdl,126,0.30952380952380953,0.23809523809523808,0.0047360040548553965,1.0139567341242148,30.0,0.4523809523809524,0.29365079365079366,0.1746031746031746,0.11904761904761904,0.6746031746031746,36.013888888888886,19.5,25.1765873015873,26.5,76.21830514412858,74.0,20.714285714285715
target_category,pmh_pml,40,0.25,1.625,0.060698795180722985,1.0892857142857142,65.0,0.475,0.325,0.2,0.15,0.725,41.01875,29.75,27.225,29.125,74.18466839056119,73.0,15.2
target_category,weekly_high_low,249,0.285140562248996,2.322289156626506,0.0922547858703786,1.131412987898415,578.25,0.4738955823293173,0.3333333333333333,0.22088353413654618,0.13654618473895583,0.6987951807228916,40.196787148594375,23.5,28.604417670682732,27.25,76.00186390974035,74.0,18.57831325301205
confidence_quartiles,"(-0.001, 0.469]",378,0.25925925925925924,1.3452380952380953,0.052171957420925605,1.0736876426475384,508.5,0.4603174603174603,0.30423280423280424,0.22486772486772486,0.15608465608465608,0.7222222222222222,38.592592592592595,20.5,27.412037037037038,27.25,75.15335467248127,74.0,16.687830687830687
confidence_quartiles,"(0.469, 0.531]",263,0.25475285171102663,-1.9134980988593155,-0.07843903529460522,0.8963706563706564,-503.25,0.4372623574144487,0.2813688212927757,0.17870722433460076,0.11787072243346007,0.7300380228136882,35.289923954372625,19.5,27.569391634980988,28.25,75.56454439238188,74.52701280372797,18.418250950570343
confidence_quartiles,"(0.531, 0.625]",302,0.30132450331125826,4.6448675496688745,0.19039538172646392,1.268687449121295,1402.75,0.4900662251655629,0.3708609271523179,0.2251655629139073,0.15562913907284767,0.6821192052980133,42.5546357615894,26.375,26.60430463576159,26.875,75.76752981282749,73.86054088324899,19.41390728476821
