section,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
snr_1m_quartiles,"(-0.001, 1.156]",306,0.2973856209150327,2.8137254901960786,0.11237357493024287,1.1624834874504624,861.0,0.4869281045751634,0.3300653594771242,0.23202614379084968,0.13398692810457516,0.6862745098039216,39.98202614379085,24.75,26.718954248366014,27.25,74.43978995417443,73.1261941206792,19.663398692810457
snr_1m_quartiles,"(1.156, 1.808]",303,0.23432343234323433,-1.6848184818481848,-0.06570091934032476,0.9100083733638887,-510.5,0.44554455445544555,0.30363036303630364,0.1848184818481848,0.132013201320132,0.7425742574257426,36.37871287128713,20.5,27.54785478547855,28.0,75.92326721626426,74.0,16.95049504950495
snr_1m_quartiles,"(1.808, 2.534]",304,0.27960526315789475,1.303453947368421,0.04991504646641673,1.0729876588690366,396.25,0.4967105263157895,0.34539473684210525,0.2138157894736842,0.13157894736842105,0.7039473684210527,40.41200657894737,25.5,26.893092105263158,27.25,76.44154734676043,74.93550280937983,19.236842105263158
snr_1m_quartiles,"(2.534, 7.651]",305,0.2983606557377049,4.674590163934426,0.18728779045625935,1.2674953095684802,1425.75,0.4557377049180328,0.33114754098360655,0.24262295081967214,0.18688524590163935,0.6885245901639344,41.08524590163935,21.5,27.115573770491803,27.0,76.26458589677712,74.31744526316491,17.881967213114756
snr_5m_quartiles,"(-0.001, 0.698]",305,0.3016393442622951,4.229508196721311,0.1697431058705165,1.2455973346025702,1290.0,0.4918032786885246,0.35081967213114756,0.2360655737704918,0.16393442622950818,0.6786885245901639,41.03688524590164,24.5,26.118032786885244,27.0,74.95947658540695,73.00185066707482,19.501639344262294
snr_5m_quartiles,"(0.698, 1.456]",304,0.26973684210526316,1.1373355263157894,0.04438104269805631,1.0631997440935885,345.75,0.4605263157894737,0.3355263157894737,0.22039473684210525,0.14144736842105263,0.7105263157894737,39.1735197368421,22.625,25.91611842105263,27.125,75.68248823676099,74.0,19.401315789473685
snr_5m_quartiles,"(1.456, 2.498]",306,0.2908496732026144,3.020424836601307,0.12120094607722313,1.1717138875986994,924.25,0.4477124183006536,0.3137254901960784,0.22549019607843138,0.16339869281045752,0.696078431372549,39.13725490196079,21.25,27.008169934640524,27.875,76.36589786446733,75.00326520493451,18.019607843137255
snr_5m_quartiles,"(2.498, 6.773]",303,0.24752475247524752,-1.278877887788779,-0.05140293130977305,0.9311111111111111,-387.5,0.48514851485148514,0.3102310231023102,0.19141914191419143,0.11551155115511551,0.735973597359736,38.523102310231025,23.75,29.24009900990099,27.75,76.05337708048242,74.0,16.815181518151814
snr_15m_quartiles,"(0.00573, 0.885]",305,0.25245901639344265,-0.8483606557377049,-0.03402687891371416,0.954320769706064,-258.75,0.4459016393442623,0.3377049180327869,0.21967213114754097,0.1180327868852459,0.7311475409836066,38.506557377049184,20.75,27.05983606557377,27.5,75.38602039471617,73.15212121212122,17.82950819672131
snr_15m_quartiles,"(0.885, 1.747]",304,0.3355263157894737,7.3980263157894735,0.29809803174958616,1.4489470006986724,2249.0,0.4868421052631579,0.35855263157894735,0.2565789473684211,0.19078947368421054,0.6546052631578947,43.16776315789474,24.0,25.63733552631579,26.875,75.0567612530217,73.55193275296388,20.286184210526315
