component,with_trades,without_trades,with_expectancy,without_expectancy,expectancy_lift,with_pf,without_pf,pf_lift,tp1_lift,tp2_lift,tp3_lift,tp4_lift,stop_rate_lift,avg_mfe_lift,avg_mae_lift
penalty_major_obstacle,15,1203,18.183333333333334,1.5791770573566084,16.604156275976724,2.2002200220022003,1.0883460831957588,1.1118739388064416,0.1303408146300914,0.14081463009143808,0.18387364921030758,0.054530340814630096,-0.10656691604322532,,
fvg_or_retest,1128,90,2.1318705673758864,-2.5805555555555557,4.712426122931442,1.1199107432247126,0.8614466815809098,0.25846406164380287,0.028959810874704506,0.041784869976359384,0.019858156028368795,0.037825059101654845,-0.042316784869976365,,
higher_timeframe_bias,1119,99,2.1586237712243075,-2.4545454545454546,4.613169225769762,1.12162638469285,0.8701055726312976,0.2515208120615524,-0.0037912638448831526,0.04871774040674848,0.006824274920789658,0.016139951796788232,-0.04595553389119078,,
structure_shift,838,380,3.1954057279236276,-1.3296052631578947,4.525010991081523,1.1799079548508467,0.926205864096104,0.2537020907547427,0.00030775028262780557,0.03627056902399195,0.042029895741740986,0.047939957291797494,-0.007662353975631198,,
displacement,891,327,2.7685185185185186,-0.8998470948012233,3.6683656133197418,1.157675221323788,0.9516533169028548,0.20602190442093316,0.05059772032249099,0.038128481553558025,0.01845159031703375,0.036738434291951116,-0.03503948763887599,,
draw_on_liquidity,1189,29,1.8282169890664424,-0.04310344827586207,1.8713204373423045,1.1027741333049657,0.9978448275862069,0.1049293057187588,0.09419680403700592,0.017661900756938576,-0.02354920100925148,-0.026913372582001688,-0.08999158957106812,,
relative_volume,926,292,1.8296436285097193,1.6378424657534247,0.19180116275629455,1.1014931184760308,1.094937965260546,0.006555153215484832,0.011753306310837597,-0.0015533003935027656,-0.001035533595668492,0.016546347525074695,0.03123613124648661,,
signal_to_noise,377,841,0.9038461538461539,2.178061831153389,-1.274215677307235,1.0495474208440874,1.1233211027703909,-0.07377368192630351,-0.010244214762645198,-0.04417817616390746,-0.008963687917314556,0.011158876795024253,0.019665233696149254,,
premium_discount,771,447,0.4361219195849546,4.107941834451902,-3.671819914866947,1.0239737625438925,1.2383192731992212,-0.2143455106553287,-0.00475282688742068,0.0015233419510963797,-0.008408847570051947,-0.030658344867208115,0.036220719191497164,,
liquidity_sweep,1033,185,1.0418683446272992,5.925675675675675,-4.883807331048376,1.0580799222902781,1.3425513631747519,-0.28447144088447374,-0.06893592527668041,-0.02164778524894695,-0.04205018183720993,-0.06987781586039091,0.028502655608173444,,
penalty_snr_conflict,100,1118,-6.15,2.4932915921288012,-8.6432915921288,0.6783052177324441,1.1406478631616126,-0.4623426454291685,-0.0776386404293381,-0.05184257602862252,-0.06361359570661895,-0.09384615384615386,0.04874776386404289,,
room_to_target,1203,15,1.5791770573566084,18.183333333333334,-16.604156275976724,1.0883460831957588,2.2002200220022003,-1.1118739388064416,-0.1303408146300914,-0.14081463009143808,-0.18387364921030758,-0.054530340814630096,0.10656691604322532,,
key_location,1218,0,1.7836617405582922,,,1.0999735397995927,,,,,,,,,
penalty_data_quality,0,1218,,1.7836617405582922,,,1.0999735397995927,,,,,,,,
penalty_failed_retest,0,1218,,1.7836617405582922,,,1.0999735397995927,,,,,,,,
penalty_htf_conflict,0,1218,,1.7836617405582922,,,1.0999735397995927,,,,,,,,
penalty_stale_setup,0,1218,,1.7836617405582922,,,1.0999735397995927,,,,,,,,
