component_a,component_b,phi,jaccard,a_active,b_active,both_active,a_when_b,b_when_a,neither_expectancy,a_only_expectancy,b_only_expectancy,both_expectancy,a_added_to_b_expectancy,b_added_to_a_expectancy,a_added_to_b_pf,b_added_to_a_pf,abs_phi
room_to_target,penalty_major_obstacle,-1.0,0.0,1203,15,0,0.0,0.0,,1.5791770573566084,18.183333333333334,,,,,,1.0
displacement,premium_discount,-0.38055831686693525,0.38847117794486213,891,771,465,0.603112840466926,0.5218855218855218,3.619047619047619,4.132042253521127,-1.2099673202614378,1.5193548387096774,2.729322158971115,-2.6126874148114494,0.14983574234515062,-0.1564204155521416,0.38055831686693525
liquidity_sweep,signal_to_noise,-0.3153854626503236,0.2218370883882149,1033,377,256,0.6790450928381963,0.24782187802516942,9.92578125,1.53989703989704,3.809917355371901,-0.4697265625,-4.279643917871901,-2.00962360239704,-0.23826593257392337,-0.11210528838701062,0.3153854626503236
liquidity_sweep,premium_discount,0.29001037726370527,0.6565656565656566,1033,771,715,0.9273670557717251,0.6921587608906099,5.73062015503876,3.449685534591195,6.375,-0.02902097902097902,-6.404020979020979,-3.478706513612174,-0.37404490332019347,-0.20238416866459497,0.29001037726370527
liquidity_sweep,structure_shift,-0.2602872154372493,0.5424567188788129,1033,838,658,0.7852028639618138,0.6369796708615683,-0.25,-1.344,6.097222222222222,2.401595744680851,-3.695626477541371,3.745595744680851,-0.2200251423476407,0.20880649804140305,0.2602872154372493
structure_shift,premium_discount,-0.22963680406471898,0.4101665205959685,838,771,468,0.6070038910505836,0.5584725536992841,-8.256493506493506,6.681081081081081,0.4306930693069307,0.43963675213675213,0.008943682829821442,-6.241444328944329,-0.000378875376464638,-0.37173933178649277,0.22963680406471898
signal_to_noise,penalty_snr_conflict,-0.2002404328658185,0.0,377,100,0,0.0,0.0,3.30195681511471,0.9038461538461539,-6.15,,,,,,0.2002404328658185
structure_shift,penalty_snr_conflict,0.19493985139323597,0.11799761620977355,838,100,99,0.99,0.11813842482100238,-1.4656992084432718,4.523680649526387,50.25,-6.71969696969697,-56.96969696969697,-11.243377619223356,-inf,-0.6056835448025084,0.19493985139323597
higher_timeframe_bias,displacement,-0.1734132935627906,0.6516023007395234,1119,891,793,0.8900112233445566,0.7086684539767649,-20.25,-0.8404907975460123,-2.2729591836734695,3.391551071878941,5.66451025555241,4.232041869424953,0.3153489487517275,0.24014587543402166,0.1734132935627906
signal_to_noise,penalty_major_obstacle,0.16677852886504754,0.03978779840848806,377,15,15,1.0,0.03978779840848806,2.178061831153389,0.1878453038674033,,18.183333333333334,,17.995488029465932,,1.189994458092426,0.16677852886504754
