model,component,weight
baseline,higher_timeframe_bias,10
baseline,draw_on_liquidity,10
baseline,key_location,8
baseline,liquidity_sweep,14
baseline,displacement,12
baseline,structure_shift,12
baseline,fvg_or_retest,8
baseline,relative_volume,6
baseline,signal_to_noise,10
baseline,premium_discount,4
baseline,room_to_target,6
candidate_conservative,higher_timeframe_bias,12
candidate_conservative,draw_on_liquidity,10
candidate_conservative,key_location,8
candidate_conservative,liquidity_sweep,10
candidate_conservative,displacement,14
candidate_conservative,structure_shift,14
candidate_conservative,fvg_or_retest,10
candidate_conservative,relative_volume,6
candidate_conservative,signal_to_noise,7
candidate_conservative,premium_discount,3
candidate_conservative,room_to_target,6
candidate_evidence_tilt,higher_timeframe_bias,13
candidate_evidence_tilt,draw_on_liquidity,9
candidate_evidence_tilt,key_location,8
candidate_evidence_tilt,liquidity_sweep,8
candidate_evidence_tilt,displacement,16
candidate_evidence_tilt,structure_shift,16
candidate_evidence_tilt,fvg_or_retest,12
candidate_evidence_tilt,relative_volume,6
candidate_evidence_tilt,signal_to_noise,5
candidate_evidence_tilt,premium_discount,2
candidate_evidence_tilt,room_to_target,5
candidate_redundancy_reduced,higher_timeframe_bias,11
candidate_redundancy_reduced,draw_on_liquidity,8
candidate_redundancy_reduced,key_location,8
candidate_redundancy_reduced,liquidity_sweep,8
candidate_redundancy_reduced,displacement,18
candidate_redundancy_reduced,structure_shift,18
candidate_redundancy_reduced,fvg_or_retest,12
candidate_redundancy_reduced,relative_volume,7
candidate_redundancy_reduced,signal_to_noise,4
candidate_redundancy_reduced,premium_discount,2
candidate_redundancy_reduced,room_to_target,4
